Domain,Country,Item,Element,Year,Value
Annual population,Afghanistan,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,29105.0
Annual population,Albania,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,3154.0
Annual population,Algeria,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,37763.0
Annual population,American Samoa,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,55.0
Annual population,Andorra,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,78.0
Annual population,Angola,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,20180.0
Annual population,Anguilla,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,14.0
Annual population,Antigua and Barbuda,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,88.0
Annual population,Argentina,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,40729.0
Annual population,Armenia,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,2964.0
Annual population,Aruba,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,102.0
Annual population,Australia,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,22741.0
Annual population,Austria,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,8433.0
Annual population,Azerbaijan,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,9202.0
Annual population,Bahamas,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,366.0
Annual population,Bahrain,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,1293.0
Annual population,Bangladesh,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,152862.0
Annual population,Barbados,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,282.0
Annual population,Belarus,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,9450.0
Annual population,Belgium,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,11007.0
Annual population,Belize,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,316.0
Annual population,Benin,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,9780.0
Annual population,Bermuda,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,65.0
Annual population,Bhutan,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,729.0
Annual population,Bolivia (Plurinational State of),Population - Est. & Proj.,Total Population - Both sexes (1000),2011,10324.0
Annual population,Bosnia and Herzegovina,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,3839.0
Annual population,Botswana,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,1987.0
Annual population,Brazil,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,196935.0
Annual population,British Virgin Islands,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,28.0
Annual population,Brunei Darussalam,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,407.0
Annual population,Bulgaria,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,7333.0
Annual population,Burkina Faso,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,15995.0
Annual population,Burundi,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,9540.0
Annual population,Cabo Verde,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,491.0
Annual population,Cambodia,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,14606.0
Annual population,Cameroon,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,21156.0
Annual population,Canada,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,34487.0
Annual population,Cayman Islands,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,57.0
Annual population,Central African Republic,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,4436.0
Annual population,Chad,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,12080.0
Annual population,Chile,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,17308.0
Annual population,China,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,1399293.0
Annual population,"China, Hong Kong SAR",Population - Est. & Proj.,Total Population - Both sexes (1000),2011,7096.0
Annual population,"China, Macao SAR",Population - Est. & Proj.,Total Population - Both sexes (1000),2011,546.0
Annual population,"China, mainland",Population - Est. & Proj.,Total Population - Both sexes (1000),2011,1368440.0
Annual population,"China, Taiwan Province of",Population - Est. & Proj.,Total Population - Both sexes (1000),2011,23210.0
Annual population,Colombia,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,47079.0
Annual population,Comoros,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,700.0
Annual population,Congo,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,4225.0
Annual population,Cook Islands,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,20.0
Annual population,Costa Rica,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,4738.0
Annual population,C̫te d'Ivoire,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,19390.0
Annual population,Croatia,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,4324.0
Annual population,Cuba,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,11276.0
Annual population,Cyprus,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,1117.0
Annual population,Czech Republic,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,10611.0
Annual population,Democratic People's Republic of Korea,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,24631.0
Annual population,Democratic Republic of the Congo,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,63932.0
Annual population,Denmark,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,5575.0
Annual population,Djibouti,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,847.0
Annual population,Dominica,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,71.0
Annual population,Dominican Republic,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,10148.0
Annual population,Ecuador,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,15246.0
Annual population,Egypt,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,79392.0
Annual population,El Salvador,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,6256.0
Annual population,Equatorial Guinea,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,716.0
Annual population,Eritrea,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,5933.0
Annual population,Estonia,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,1294.0
Annual population,Ethiopia,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,89393.0
Annual population,Falkland Islands (Malvinas),Population - Est. & Proj.,Total Population - Both sexes (1000),2011,3.0
Annual population,Faroe Islands,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,50.0
Annual population,Fiji,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,868.0
Annual population,Finland,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,5389.0
Annual population,France,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,63582.0
Annual population,French Guiana,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,237.0
Annual population,French Polynesia,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,271.0
Annual population,Gabon,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,1594.0
Annual population,Gambia,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,1735.0
Annual population,Georgia,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,4374.0
Annual population,Germany,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,82893.0
Annual population,Ghana,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,24821.0
Annual population,Gibraltar,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,29.0
Annual population,Greece,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,11119.0
Annual population,Greenland,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,57.0
Annual population,Grenada,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,105.0
Annual population,Guadeloupe,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,461.0
Annual population,Guam,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,161.0
Annual population,Guatemala,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,14707.0
Annual population,Guinea,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,11162.0
Annual population,Guinea-Bissau,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,1624.0
Annual population,Guyana,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,791.0
Annual population,Haiti,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,10033.0
Annual population,Holy See,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,1.0
Annual population,Honduras,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,7777.0
Annual population,Hungary,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,9996.0
Annual population,Iceland,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,322.0
Annual population,India,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,1221156.0
Annual population,Indonesia,Population - Est. & Proj.,Total Population - Both sexes (1000),2011,243802.0
